lat,lng
38.877461,-77.0808279984826
48.6904063,2.373809
39.3642852,-74.4229351
48.4283182,-123.3649533
-34.4146368,19.2485886
52.4459114,13.504547
50.80843175,4.94642921342942
53.86878,8.698286
52.4459114,13.504547
51.6289575,0.4198562
51.702588,-0.1955649
49.9999952,8.2710237
54.6957009,-1.2003161
51.0538286,3.7250121
54.6072964,8.8840629
53.86878,8.698286
???,???
52.6072426,1.7310768
-34.9646543,117.3591467
37.7605855,30.3908267
37.7605855,30.3908267
54.17960165,7.88547549188707
40.6639916,-74.2107006
41.5051613,-81.6934446
40.8967735,-77.8954281
45.4384958,10.9924122
54.9770924,-1.6142059
54.9770924,-1.6142059
54.6957009,-1.2003161
40.7859331,-74.7801645
40.7859331,-74.7801645
41.5045465,-85.8241056526596
41.5045465,-85.8241056526596
40.735657,-74.1723667
40.735657,-74.1723667
40.9354609,-74.6611513311839
41.2963365,-92.6449612
41.5051613,-81.6934446
10.4195841,-75.5271224
52.1363806,-0.4675041
38.980666,-76.9369189
40.7970384,-74.4809492
41.4108855,-83.46104
51.0538286,3.7250121
42.5204146,3.1056167
39.4699014,-0.3759513
41.8500284,-88.3125738
41.0802621,-105.5074905
51.5073219,-0.1276474
41.3828939,2.1774322
54.6072964,8.8840629
43.8014053,-91.2395429
40.8324212,-115.7631233
-37.9064862,144.7533059
-37.9064862,144.7533059
???,???
41.5051613,-81.6934446
41.5869225,-109.2047867
43.6044622,1.4442469
53.7124015,-0.3652257
48.8566101,2.3514992
-36.5682185,144.2409122
48.8566101,2.3514992
36.8889933,-76.2481624
40,-40
49.6642288,1.9428147
???,???
51.0887105,1.1663557
53.6323399,10.0233695
48.7419909,7.3625953
36.5298292,-6.2925679
39.7683331,-86.1583502
45.4371908,12.3345898
35.1952327,-6.152913
34.0346534,-5.0161926
41.9263991,8.7376029
41.3828939,2.1774322
38.040803,-121.336657
41.641445,-80.151449
52.6072426,1.7310768
44.4361414,26.1027202
41.4647742,-83.9524442
41.4647742,-83.9524442
41.4000523,-82.8085204
64.6863136,97.7453061
-34.9646543,117.3591467
41.1710716,-104.2552567
40.9658932,-78.6130822
37.7605855,30.3908267
39.7837304,-100.4458825
11.01184845,-74.8086460830206
43.5445,3.12514
41.5824086,-85.834366
51.3385156,-0.115893
54.17960165,7.88547549188707
38.353738,-0.4901846
38.353738,-0.4901846
38.353738,-0.4901846
37.7017416,-3.5291263
47.4983815,19.0404707
39.7478508,-81.5165127
48.6762624,5.8941759
54.9770924,-1.6142059
20.9131304,-17.0501015
50.7259985,1.6118771
41.5844951,-84.6055076
52.5322705,13.1433666
50.0222324,-1.0513228
???,???
50.96333145,4.2931627906237
53.6784483,6.9956079
51.2525456,0.3356591
53.4768564,-2.2385272
40.7859331,-74.7801645
51.5497446,8.57347496821343
50.0222324,-1.0513228
26.1233266,-14.5005584
42.3264181,-122.8718605
50.6440257,2.7226506
34.022405,-6.834543
-24.8830649,146.2532573
44.5204431,-116.3345874
50.7568104,10.4730297
41.5824086,-85.834366
36.775348,3.060065
50.79946485,8.9412917948805
51.2719654,0.1914386
41.8750974,-72.2639679
40.5540745,-74.4306301
13.581921,-38.320312
50.5774374,11.80891
41.5045465,-85.8241056526596
40.4862174,-74.4518173
48.584614,7.7507127
???,???
41.4372721,-85.1471934
36.8414197,-2.4628135
43.2961743,5.3699525
43.2961743,5.3699525
42.9056288,-74.5718073
-34.7923733,-55.3837161
42.5204146,3.1056167
41.1172364,1.2546057
36.8414197,-2.4628135
41.0030693,-98.0095019
???,???
39.6903253,-4.4273603
44.2597168,-105.4814611
-37.9064862,144.7533059
44.920036,-93.390648
51.2029228,7.3571392
50.1106444,8.6820917
38.4166818,-95.8530441
???,???
51.3385156,-0.115893
51.87495,4.4425054215404
-36.5682185,144.2409122
48.6762624,5.8941759
36.8889933,-76.2481624
42.8688613,-112.4401098
???,???
41.9793006,2.8199439
41.3670014,-79.9292233
44.9332277,4.8920811
41.4486619,-84.7480123
41.4486619,-84.7480123
41.3875558,-80.8692537
33.4764767,-100.8556857
33.4764767,-100.8556857
51.0887105,1.1663557
47.6579425,-117.4212265
52.4479235,11.4852603
41.1305303,-82.591828
35.0456297,-85.3096801
49.2577886,4.031926
41.9542632,-72.3023023
43.9792797,-120.737257
39.591337,19.8596189187339
39.6296809,-79.9559437
34.0126979,-6.8315132
40.735657,-74.1723667
-33.704256,150.9406766
32.7174209,-117.1627714
22.2170473,-97.8463662
48.7419909,7.3625953
36.775348,3.060065
???,???
41.3828939,2.1774322
50.9141783,0.9728941
44.9504037,-93.1015026
47.550753,9.6926624
39.9622601,-83.0007065
34.405472,-103.2050709
43.5854823,39.723109
50.5424246,11.9853501
34.8480597,-114.6141316
41.4647742,-83.9524442
25.6436156,57.7745644
40,-40
43.167376,-79.241638
41.5806542,-72.7567637
35.1952327,-6.152913
32.61858505,-116.187466395595
44.107033,9.8282255
40.3933956,-82.4857181
20.4041371,-97.2886102
20.4041371,-97.2886102
51.2481861,-0.0674912
42.18808965,9.06841377142769
40.92309255,9.50503889747309
45.6306954,-122.6744557
41.436589,-81.3855058
52.5170365,13.3888599
35.2072185,-101.8338246
???,???
-18.9100122,47.5255809
33.1958696,-117.3794834
35.888361,-5.304138
39.100105,-94.5781416
41.7645491,-72.6908673
51.1754221,0.4929866
40.7281575,-74.0776417
42.3602534,-71.0582912
-34.6075616,-58.437076
55.14320545,14.9225721494518
27.6449333,-98.0842558
51.38644,0.3566224
???,???
51.3713049,-0.101957
53.535411,-113.507996
51.0493286,13.7381437
51.0493286,13.7381437
???,???
-31.9527121,115.8604796
54.3126572,-130.32549
43.5771243,1.0932789
40.6028144,-86.8672339
-23.960833,-46.333889
38.353738,-0.4901846
31.2253441,121.4888922
51.00303,3.7988833
46.4553899,-121.898979
-39.03939,177.4271389
49.968373,-98.6290814
-31.8759835,147.2869493
36.5275929,-6.24846268206477
38.2719604,-96.5352854
38.2719604,-96.5352854
34.1816482,-118.3258554
34.1816482,-118.3258554
40.9134862,-77.7737471
40.9134862,-77.7737471
41.5795195,-83.4924358983687
49.234362,6.996379
41.8755546,-87.6244212
-34.3830356,147.468585992081
38.5250491,-89.1334037
38.5250491,-89.1334037
41.8755546,-87.6244212
39.1014537,-84.5124602
44.4491118,23.8688248
37.8044557,-122.2713563
-10.3333333,-53.2
-10.3333333,-53.2
39.9448402,-75.1198911
???,???
40.7879394,-111.9783931
35.000074,104.999927
46.2395793,-119.1005657
41.2455927,-89.9248303
13.7542529,100.493087
36.1903195,5.4097074
39.9242266,-83.8088172
42.1380804,-88.7834283
34.8401975,-118.892845053761
38.1557502,-121.6913439
42.0258779,-85.8155576
42.0258779,-85.8155576
25.7863727,-80.3782057
34.0039044,-117.0619774
38.4683846,-90.0684413
40.3697905,-80.6339638
50.7259985,1.6118771
41.39311,-81.536509
41.0799898,-85.1386015
34.1816482,-118.3258554
45.5202471,-122.6741949
???,???
33.8959203,35.47843
???,???
51.3443067,-0.0607688
-28.6483333,153.6177778
20.9131304,-17.0501015
-13.200892,-64.3737657
50.6826707,-120.36535465
51.3344829,1.4227153
???,???
34.7737082,-90.7576112
35.2072185,-101.8338246
38.489535,-106.956346
-27.576019,152.940587
36.775348,3.060065
40.735657,-74.1723667
33.9528472,-84.5496148
44.0505054,-123.0950506
32.6944091,-97.1823752
-34.8700721,-68.5479966
37.6688205,-122.0807964
51.0333408,2.8647185
52.2276543,10.7060559
39.7531754,-74.2229179
39.8154937,16.202772
47.8701474,12.6423403
41.8478521,2.3920004
38.0498524,-77.3469994
42.0700662,-87.8114044
38.863317,24.9963211
35.1439219,-103.4183431
???,???
41.6105938,-87.0641992
47.6441521,6.6750345
45.5202471,-122.6741949
34.9900503,-106.0491893
35.000074,104.999927
43.2961743,5.3699525
41.4362959,-88.7735491
53.550341,10.000654
-28.891577,31.464842
43.2961743,5.3699525
47.2574315,3.6843003
42.9056288,-74.5718073
40.7879394,-111.9783931
???,???
40.0117151,-89.8481652
4.8142912,-75.6946451
19.7078812,-101.1569649
???,???
50.0222324,-1.0513228
51.3713049,-0.101957
41.9909235,-74.6840456
-37.1388345,-56.9021313
???,???
34.1816482,-118.3258554
34.1083449,-117.2897652
47.9844315,8.8186606
-12.285251,-41.9294776
29.8753006,121.5442007
50.0222324,-1.0513228
39.8870003,-94.892021
-39.3330983,145.5001164
-39.3330983,145.5001164
???,???
???,???
-23.4378387,144.2586898
52.4438124,11.5761196
38.951883,-92.3337366
20.211189,-75.993469
???,???
36.2434093,-84.6699442
24.9455669,67.0291459
